Въпроси;Отговори
Столична Дирекция Пожарна безопасноснот и защита на населението;ул. Екзарх Йосиф №46
Столична дирекция на вътрешните работи(СДВР);ул. Антим №5
ЖП гара Поуяне;Бул. Мадрид №57
ЖП гара Захарна Фабрика;ул. Крум Христов Стоянов №1
Автогара ЮГ ;Бул. Самоков №54
Централна Автогара София;Бул. Княгиня Мария Луиза №100
Централно управление на НОИ;бул. Ал. Стамболийски №62
08мо РУ - СДВР;ул. Иван Арабаджията бл №141
03-то РУ -СДВР;ул. Индже Войвода №2
Централно Управление на НАП;Бул. Княз Ал. Дондуков №52
ТД на НАП - София;ул. Аксаков №21
ТД на нап  - София - област;бул. Витоша №6
