Въпроси;Отговори
УМБАЛ Александровска;ул. св Георги Софийски №1
"УМБАЛСМ ""Н.И.Пирогов""";бул. Ген Тотлебен №21
Център за спешна медицинска помощ;бул. Васил Левски №129
Военномедицинска Академия (ВМА);ул. св Георги Софийски №3
Национална кардиологична болница (3та градска);ул. Коньовица №65
Аджъбаде, Сити Клиник - София (Болница Токуда);бул. Никола Й. Въпцаров №51 вход от към ул Атанас Дуков
Болница Царица Йоана;ул. Бяло Море №8
Университетска АГ болница Майчин Дом;ул. Здраве №2
Първа АГ болница - София;ул. Михалаки Ташев №2
"МБАЛ за женско здраве ""Надежда""";ул. Блага вест №3
Медицински комплекс Доверие;ул. Фридрих Грюнангер №2
