Въпроси;Отговори
Министерство на вътрешните работи;ул. 6-ти Септември №29
Министерство на правосъдието;ул. Славянска №1
Министерство на замеделието храните и горите;бул. Христо Ботев №55
Министерство на труда и социалната политика;ул. Триадица №2
Министерство на финансите;ул. Г.С. Раковски №102
Министерство на туризма;ул. Съборна №1
Министерство на отбраната;ул. Дякон Игнатий №3
Министерство на образованието и науката;Бул. Княз Ал. Дондуков №2А
Министерство на околоната среда и водите;Бул. Княгиня Мария Луиза №22
Министерство на Транспорта и Съобщенията;ул. Дякон Игнатий №9
