Въпроси;Отговори
Централ парк хотел;бул. Витоша №106
Гранд хотел София;ул. ген.Гурко №1
хотел Хемус;бул. Черни Връх №25
Гранд хотел България;бул Цар Освободител №4
хотел Брод;бул. Симеоновско Шосе №66
хотел Маринела;бул. Джеймс Баучер №100
хотел Кистл палас;ул. Шипка №14
хотел Мег Лозенец;ул. Крум Попов №84
хотел Интер Континентал;пл. Народно събрание №4
Хотел Централ;бул. Христо Ботев №52
хотел ХИЛ;бул. Джеймс Баучер №76Б
хотел ЗОО;бул. Симеоновско шосе №6
хотел Витошко Лале;пл. Цар Иван Александър №1
